#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    AT  2022ixw      Pan-STARRS                   PS22dxj   18:10:18.054   +34:18:32.77 2022-04-29 13:40:35.040    Unclassified   20.41                   w_P1          -99                                     None          -99  None
    AT  2022iyp          ALeRCE              ZTF22aaijkan   18:20:47.142   +32:53:50.24 2022-04-24 09:52:40.002    Unclassified 20.4656                  r_ZTF          -99                 WISEAJ182047.01+325350.1          -99  None
    AT  2022iyx             ZTF              ZTF22aahnvmo   18:57:56.540   +31:44:42.76 2022-04-25 10:20:38.400    Unclassified   19.11                  g_ZTF          -99                                     None          -99  None
    AT  2022ize      Pan-STARRS                   PS22dxq   17:56:59.672   +33:53:24.96 2022-04-29 14:12:41.760    Unclassified   21.08                   w_P1          -99                                     None          -99  None
    AT  2022izf      Pan-STARRS                   PS22dxr   18:00:09.845   +40:35:39.65 2022-04-29 13:53:25.728    Unclassified   20.88                   w_P1          -99                                     None          -99  None
    AT  2022izh      Pan-STARRS                   PS22dxs   17:54:14.662   +41:05:13.55 2022-03-27 14:30:59.904    Unclassified   22.27                   w_P1          -99                                     None          -99  None
    AT  2022izj      Pan-STARRS                   PS22dxx   18:34:29.423   +35:46:49.98 2022-04-29 13:46:56.064    Unclassified   21.09                   w_P1          -99                                     None          -99  None
    AT  2022izl      Pan-STARRS                   PS22dxz   17:59:44.150   +42:14:52.03 2022-04-29 13:53:25.728    Unclassified   21.74                   w_P1          -99                                     None          -99  None
    AT  2022izm      Pan-STARRS                   PS22dya   18:48:18.368   +38:30:26.00 2022-04-29 13:49:40.224    Unclassified   19.94                   w_P1          -99                                     None          -99  None
    AT  2022jbm            SGLF              ZTF22aaihifa   17:42:27.436   +17:12:50.31 2022-04-25 07:42:37.000    Unclassified  20.395                  r_ZTF          -99                                     None          -99  None
    AT  2022jbp      Pan-STARRS                   PS22dyl   17:18:36.263   +33:36:53.26 2022-04-30 13:54:28.800    Unclassified   20.35                   w_P1          -99                                     None          -99  None
    AT  2022jcs          ALeRCE              ZTF22aaiwgzm   17:48:26.229   +39:26:24.63 2022-05-01 09:53:08.998    Unclassified 20.4512                  r_ZTF          -99                 WISEAJ174826.28+392623.6          -99  None
    AT  2022jdn          ALeRCE              ZTF22aairhvz   17:36:55.951   +36:49:22.19 2022-04-28 09:58:20.004    Unclassified 20.5121                  r_ZTF          -99                 WISEAJ173655.82+364921.6          -99  None
    AT  2022jdo          ALeRCE              ZTF22aaipjsd   17:30:07.717   +34:01:57.64 2022-04-28 11:21:04.997    Unclassified 20.6798                  g_ZTF          -99                 WISEAJ173007.90+340155.4      0.07597  None
    AT  2022jdy          ALeRCE              ZTF22aahzeos   18:30:32.633   +39:48:31.76 2022-04-27 10:58:34.997    Unclassified 20.3815                  r_ZTF          -99                 WISEAJ183032.37+394830.5          -99  None
    AT  2022jec          ALeRCE              ZTF18adjgssu   17:47:09.640   +16:40:24.95 2022-04-28 10:00:23.003    Unclassified 19.8929                  r_ZTF          -99                 WISEAJ174709.61+164025.1          -99  None
    AT  2022jfq          ALeRCE              ZTF22aajakxd   18:55:49.839   +29:59:22.82 2022-05-02 09:48:18.996    Unclassified 20.5977                  g_ZTF          -99                 WISEAJ185549.33+295920.1          -99  None
    AT  2022jfr          ALeRCE              ZTF22aajakjb   18:37:39.236   +30:36:10.58 2022-05-02 09:48:18.996    Unclassified 19.7111                  g_ZTF          -99                                     None          -99  None
    AT  2022jhr             ZTF              ZTF22aairlef   17:08:08.754   +24:39:04.02 2022-05-01 09:21:36.000    Unclassified   20.14                  r_ZTF          -99                                     None          -99  None
    AT  2022jou             ZTF              ZTF22aajjdkr   17:49:34.463   +16:40:40.87 2022-05-03 09:38:49.344    Unclassified 20.0815                  r_ZTF          -99                                     None          -99  None
    AT  2022jpu          ALeRCE              ZTF22aajmggu   17:48:06.920   +29:19:17.77 2022-05-09 10:37:24.001    Unclassified 20.1141                  r_ZTF          -99                                     None          -99  None
    AT  2022jpz          ALeRCE              ZTF22aajjjcd   17:31:16.065   +33:58:53.80 2022-05-03 11:06:24.002    Unclassified 21.2085                  g_ZTF          -99                  SDSSJ173116.10+335852.7          -99  None
    AT  2022jqb          ALeRCE              ZTF22aajjdoj   17:55:01.119   +34:33:25.51 2022-05-09 10:44:56.996    Unclassified   20.03                  r_ZTF          -99                 WISEAJ175501.27+343325.2          -99  None
    AT  2022juk           ATLAS                ATLAS22nwc   18:56:45.516   +24:40:56.22 2022-05-11 11:54:02.304    Unclassified   18.96           orange_ATLAS          -99                                     None          -99  None
    AT  2022jvs         ANTARES              ZTF22aajmhgp   17:55:25.451   +29:38:03.13 2022-05-13 11:13:25.824    Unclassified 20.1732                  g_ZTF          -99                                     None          -99  None
    AT  2022jwd          ALeRCE              ZTF22aajxazj   18:40:13.687   +27:07:41.48 2022-05-11 10:32:58.001    Unclassified  19.914                  g_ZTF          -99                                     None          -99  None
    AT  2022jwe          ALeRCE              ZTF22aajxakg   18:03:46.286   +29:09:43.27 2022-05-09 10:37:24.001    Unclassified 20.4904                  r_ZTF          -99                 WISEAJ180346.23+290944.5          -99  None
    AT  2022jyu           ATLAS                ATLAS22mxl   17:11:14.770   +24:48:24.88 2022-04-28 11:34:02.208    Unclassified  19.396             cyan_ATLAS          -99                                     None          -99  None
    AT  2022kcg             ZTF              ZTF22aajjipy   18:46:14.544   +22:03:58.98 2022-05-08 09:56:09.600    Unclassified   17.62                  r_ZTF          -99                                     None          -99  None
    AT  2022kdt          ALeRCE              ZTF22aakhkdx   18:10:51.042   +37:07:50.88 2022-05-19 07:15:57.997    Unclassified 19.6745                  r_ZTF          -99                 WISEAJ181051.11+370752.2          -99  None
    AT  2022kkm          ALeRCE              ZTF22aakojhe   18:42:55.031   +24:55:02.40 2022-05-22 09:26:02.000    Unclassified 19.8259                  r_ZTF          -99                                     None          -99  None
    SN  2022kkq          ALeRCE              ZTF22aaknrtp   18:32:26.024   +31:52:49.05 2022-05-22 08:22:14.998            SNIa 20.1113                  r_ZTF         0.06                 WISEAJ183225.97+315249.4          -99  None
    AT  2022kkr          ALeRCE              ZTF22aaknrfl   18:16:49.696   +14:40:59.15 2022-05-22 08:25:39.999    Unclassified 20.0393                  r_ZTF          -99                  SDSSJ181649.79+144056.9          -99  None
    AT  2022kks          ALeRCE              ZTF22aaknqvr   17:53:30.446   +28:53:08.35 2022-05-22 08:24:17.997    Unclassified 19.7569                  r_ZTF          -99                 WISEAJ175330.39+285307.5          -99  None
    AT  2022kkz          ALeRCE              ZTF22aakngpm   17:32:32.989   +33:47:20.10 2022-05-22 07:54:39.004    Unclassified 20.4463                  r_ZTF          -99                  SDSSJ173232.97+334719.6          -99  None
    AT  2022kmg             ZTF              ZTF18adnbsfa   18:51:51.824   +27:19:16.18 2022-05-22 08:22:33.600    Unclassified   18.77                  r_ZTF          -99                                     None          -99  None
    AT  2022kml             ZTF              ZTF22aaknsax   18:08:55.993   +20:59:57.34 2022-05-09 10:36:28.800    Unclassified    20.4                  r_ZTF          -99                                     None          -99  None
    SN  2022kob           ATLAS                ATLAS22opm   18:20:46.800   +40:24:27.54 2022-05-24 10:19:39.648            SNIa  19.126             cyan_ATLAS        0.067                                     None          -99  None
    AT  2022kph             ZTF              ZTF22aakhkne   17:40:34.760   +37:48:27.26 2022-05-19 07:16:19.200    Unclassified   20.23                  r_ZTF          -99                                     None          -99  None
    AT  2022kro          ALeRCE              ZTF22aaknfkd   17:19:47.596   +34:52:43.70 2022-05-22 09:11:13.004    Unclassified  19.968                  r_ZTF          -99                  SDSSJ171947.69+345244.4          -99  None
    SN  2022kwf             ZTF              ZTF22aalfezf   17:36:17.950   +40:08:16.22 2022-05-26 08:25:14.304            SNIa 19.7888                  g_ZTF 0.0387500003                                     None          -99  None
    AT  2022kwh         ANTARES              ZTF22aaknqer   18:32:28.324   +18:16:38.27 2022-05-26 09:56:58.848    Unclassified  19.502                  r_ZTF          -99                                     None          -99  None
    AT  2022kwi         ANTARES              ZTF22aakiiia   17:30:35.512   +37:06:14.78 2022-05-26 09:12:12.672    Unclassified 20.6517                  r_ZTF          -99                                     None          -99  None
    SN  2022kyu             ZTF              ZTF22aakynop   19:14:40.110   +35:26:50.60 2022-05-24 08:19:40.800            SNIa   20.28                  r_ZTF        0.073                                     None          -99  None
    AT  2022kzj          ALeRCE              ZTF22aaljgkd   18:35:44.277   +21:41:35.25 2022-05-22 08:23:37.000    Unclassified 20.5097                  r_ZTF          -99                  SDSSJ183544.37+214136.4          -99  None
    AT  2022kzk          ALeRCE              ZTF22aaljehq   17:41:01.577   +40:55:09.49 2022-05-26 08:51:28.002    Unclassified  20.392                  g_ZTF          -99                   2MASXJ17410159+4055068          -99  None
    SN  2022kzz            SGLF              ZTF22aalizik   17:50:04.830   +26:26:03.44 2022-05-24 08:24:05.000   SNIa-91T-like  20.499                  r_ZTF        0.096                                     None          -99  None
    AT  2022lfb          ALeRCE              ZTF22aalvoxk   17:32:27.094   +28:40:08.86 2022-05-22 07:56:03.002    Unclassified 20.6307                  r_ZTF          -99                  SDSSJ173227.18+284009.0          -99  None
    SN  2022lfg          ALeRCE              ZTF22aalunvy   17:08:58.375   +21:53:03.61 2022-05-28 08:36:34.004            SNIa 19.6232                  g_ZTF        0.072                  SDSSJ170858.41+215305.1          -99  None
    AT  2022lfk          ALeRCE              ZTF22aalkepe   18:26:09.158   +29:21:57.16 2022-05-22 07:55:20.001    Unclassified 20.4356                  r_ZTF          -99                 WISEAJ182609.20+292159.7          -99  None
    AT  2022lfl          ALeRCE              ZTF22aaljndk   18:13:10.439   +41:17:02.49 2022-05-24 08:16:35.999    Unclassified 20.6458                  r_ZTF          -99                 WISEAJ181310.38+411702.9          -99  None
    AT  2022lgj         ANTARES              ZTF22aajwzqw   18:06:06.051   +35:31:30.26 2022-05-28 10:28:55.200    Unclassified 20.1058                  g_ZTF          -99                                     None          -99  None
    AT  2022lhj             ZTF              ZTF18adnjznt   19:18:19.838   +30:55:49.57 2022-05-28 09:20:09.600    Unclassified   19.69                  r_ZTF          -99                                     None          -99  None
    AT  2022lhk             ZTF              ZTF22aaljfrh   18:56:03.600   +20:44:46.31 2022-05-26 08:55:40.800    Unclassified   17.69                  g_ZTF          -99                                     None          -99  None
    AT  2022ljv             ZTF              ZTF18aavwyap   17:53:10.831   +21:35:06.25 2022-05-24 08:28:19.200    Unclassified   20.09                  r_ZTF          -99                                     None          -99  None
